Continent,Country Name,CO2 emissions,GDP,Population
Asia,Afghanistan,7.59,18400000000,37171922
Europe,Albania,5.32,15100000000,2866376
Africa,Algeria,151.87,175000000000,42228415
Africa,Angola,62.93,101000000000,30809787
South America,Argentina,207.11,518000000000,44494502
Europe,Armenia,5.59,12500000000,2951741
Oceania,Australia,388.81,1430000000000,24982688
Europe,Austria,56.06,455000000000,8840521
Europe,Azerbaijan,30.1,47100000000,9939771
North America,"Bahamas, The",2.25,13000000000,385635
Asia,Bahrain,30.75,37700000000,1569440
Asia,Bangladesh,104.5,274000000000,161000000
Europe,Belarus,37.8,60000000000,9483499
Europe,Belgium,93.63,543000000000,11427054
North America,Belize,5.92,1920000000,383071
Africa,Benin,18.62,14300000000,11485035
South America,Bolivia,90.09,40300000000,11353140
Europe,Bosnia and Herzegovina,20.81,20200000000,3323929
Africa,Botswana,49.54,18700000000,2254067
South America,Brazil,812.02,1920000000000,209000000
Asia,Brunei Darussalam,7.47,13600000000,428960
Europe,Bulgaria,7.32,66200000000,7025037
Africa,Burkina Faso,28.37,16100000000,19751466
Africa,Burundi,4.07,3040000000,11175379
Asia,Cambodia,40.16,24600000000,16249795
Africa,Cameroon,42.38,38700000000,25216261
North America,Canada,609.67,1720000000000,37065178
Africa,Central African Republic,14.31,2220000000,4666375
Africa,Chad,24.4,11200000000,15477727
South America,Chile,28.75,298000000000,18729166
Asia,China,9663.36,13900000000000,1390000000
South America,Colombia,162.46,334000000000,49661056
Africa,Cote d'Ivoire,36.55,58000000000,25069226
Europe,Croatia,12.24,61400000000,4087843
North America,Cuba,21.92,100000000000,11338146
Europe,Cyprus,6.98,25300000000,1189262
Europe,Czech Republic,96.66,249000000000,10629928
Europe,Denmark,34.23,357000000000,5793636
North America,Dominican Republic,23.56,85600000000,10627147
South America,Ecuador,65.68,108000000000,17084359
Africa,"Egypt, Arab Rep.",246.45,250000000000,98423602
North America,El Salvador,7.89,26000000000,6420740
Africa,Equatorial Guinea,10.51,13100000000,1308966
Europe,Estonia,17.96,30500000000,1321977
Africa,Ethiopia,48,84300000000,109000000
Europe,Finland,51.3,276000000000,5515525
Europe,France,247.98,2790000000000,67101930
Africa,Gabon,11.08,16900000000,2119275
Europe,Georgia,9.46,17600000000,3726549
Europe,Germany,680.06,3980000000000,82905782
Europe,Greece,66.68,212000000000,10732882
North America,Guatemala,21.48,73200000000,16346950
Africa,Guinea,15.35,11900000000,12414292
South America,Guyana,16.51,4790000000,779007
North America,Haiti,3.96,16000000000,11123183
North America,Honduras,15.3,24100000000,9587523
Europe,Hungary,48.28,160000000000,9775564
Europe,Iceland,2.11,26300000000,352721
Asia,India,2400.25,2700000000000,1350000000
Asia,Indonesia,1269.55,1040000000000,268000000
Asia,"Iran, Islamic Rep.",629.35,294000000000,81800204
Asia,Iraq,188.64,212000000000,38433604
Europe,Ireland,34.32,385000000000,4867316
Asia,Israel,62.05,370000000000,8882800
Europe,Italy,312.03,2090000000000,60421760
North America,Jamaica,8.69,15700000000,2934853
Asia,Japan,1074.08,5040000000000,127000000
Asia,Jordan,24.7,42900000000,9965322
Asia,Kazakhstan,217.46,179000000000,18276452
Africa,Kenya,10.78,87800000000,51392570
Asia,Kuwait,89.45,138000000000,4137314
Asia,Kyrgyz Republic,7.73,8270000000,6322800
Asia,Lao PDR,27.46,18000000000,7061498
Europe,Latvia,4.85,34400000000,1927174
Asia,Lebanon,27.63,55000000000,6859408
Africa,Lesotho,2.57,2510000000,2108327
Africa,Liberia,14.76,3260000000,4818976
Africa,Libya,58.94,52600000000,6678565
Europe,Lithuania,10.95,53700000000,2801543
Europe,Luxembourg,9.04,70900000000,607950
Africa,Madagascar,13.49,13600000000,26262313
Africa,Malawi,9.71,9710000000,18143215
Asia,Malaysia,319.59,359000000000,31528033
Africa,Mali,5.62,17100000000,19077755
Africa,Mauritania,2.92,7050000000,4403312
Africa,Mauritius,4.11,14200000000,1265303
North America,Mexico,486.58,1220000000000,126000000
Europe,Moldova,8.7,11500000000,2708214
Europe,Mongolia,24.42,13100000000,3170214
Europe,Montenegro,2.55,5510000000,622227
Africa,Morocco,64.74,118000000000,36029089
Africa,Mozambique,59.47,14800000000,29496009
Asia,Myanmar,136.92,68700000000,53708318
Africa,Namibia,14.81,13700000000,2448300
Asia,Nepal,14.97,33100000000,28095712
Europe,Netherlands,152.52,914000000000,17231624
Oceania,New Zealand,21.59,212000000000,4900600
North America,Nicaragua,24.72,13000000000,6465502
Africa,Niger,3.53,12800000000,22442831
Africa,Nigeria,176.66,397000000000,196000000
Europe,Norway,18.43,437000000000,5311916
Asia,Oman,73.39,79800000000,4829476
Asia,Pakistan,215.37,315000000000,212000000
North America,Panama,14.53,64900000000,4176868
Oceania,Papua New Guinea,48.46,24100000000,8606324
South America,Paraguay,54.4,40200000000,6956069
South America,Peru,144.07,223000000000,31989265
Asia,Philippines,144.7,347000000000,107000000
Europe,Poland,279.83,587000000000,37974750
Europe,Portugal,50.07,242000000000,10283822
Asia,Qatar,90.17,183000000000,2781682
Europe,Romania,52,241000000000,19473970
Asia,Russian Federation,1049.05,1660000000000,144000000
Africa,Rwanda,2.73,9640000000,12301969
Asia,Saudi Arabia,514.6,787000000000,33702757
Africa,Senegal,14.19,23100000000,15854324
Europe,Serbia,45.45,50600000000,6982604
Africa,Sierra Leone,4.36,4090000000,7650149
Asia,Singapore,47.39,376000000000,5638676
Europe,Slovak Republic,31.93,105000000000,5446771
Europe,Slovenia,14.39,54100000000,2073894
Oceania,Solomon Islands,45.78,1570000000,652856
Africa,Somalia,18.04,4720000000,15008225
Africa,South Africa,439.8,368000000000,57792520
Europe,Spain,244.45,1420000000000,46797754
Asia,Sri Lanka,23.54,88000000000,21670000
Africa,Sudan,41.2,34500000000,41801532
South America,Suriname,11.44,4000000000,575987
Europe,Sweden,19.68,555000000000,10175214
Europe,Switzerland,35.23,736000000000,8514329
Asia,Tajikistan,7.2,7770000000,9100847
Africa,Tanzania,75.68,57000000000,56313444
Asia,Thailand,270.9,507000000000,69428454
Africa,Togo,3.07,7110000000,7889095
North America,Trinidad and Tobago,17.88,23700000000,1389841
Africa,Tunisia,26.19,39800000000,11565203
Asia,Turkey,384.32,778000000000,82340090
Asia,Turkmenistan,71.73,40800000000,5850902
Africa,Uganda,21.95,32900000000,42729032
Europe,Ukraine,173.18,131000000000,44622518
Asia,United Arab Emirates,200.3,422000000000,9630966
Europe,United Kingdom,347.84,2860000000000,66460344
North America,United States,4749.57,20600000000000,327000000
South America,Uruguay,4.75,64500000000,3449290
Asia,Uzbekistan,108.72,50400000000,32956100
Asia,Vietnam,245.36,245000000000,95545959
Asia,"Yemen, Rep.",9.31,23500000000,28498683
Africa,Zambia,40.47,26300000000,17351714
Africa,Zimbabwe,99.43,19500000000,14438812
